veri,yapilandirma,F,P,k,G,sifreli_deger,ciphertext,tohum,epoch,auc,ci95_alt,ci95_ust,n,sure_s,auc_kat_ort,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
beyin MR (Cheng),F64_G32,64,0,,32,5123,1,3,12,0.9927652844710304,0.9862440245881609,0.9970484359155808,3064,188.32998250005767,0.9939686895618508,,,
beyin MR (Cheng),F64_G32,64,0,,32,5123,1,4,12,0.9940833458992154,0.9884233687219156,0.9976531166119504,3064,188.519099200028,0.99533758901497,,,
beyin MR (Cheng),U32,0,0,,32,1024,1,1,12,0.9809341587155584,0.9672271757698064,0.9903662742873311,3064,184.85044720000587,0.9820592619534108,,,
beyin MR (Cheng),U32,0,0,,32,1024,1,2,12,0.9800257690091424,0.9672950019194456,0.9893150449427776,3064,184.8818642999977,0.981228399024696,,,
beyin MR (Cheng),U32,0,0,,32,1024,1,3,12,0.9769745804351516,0.9592049902810604,0.989033702409658,3064,184.7693191000726,0.9791167120492158,,,
beyin MR (Cheng),U32,0,0,,32,1024,1,4,12,0.97929949525594,0.9645781556134294,0.989784644359186,3064,184.9342517000623,0.9811194560261614,,,
beyin MR (Cheng),U32_pencere,0,0,,32,1027,1,0,12,0.9862915564302912,0.974186203878119,0.9942717159156512,3064,185.39451819995884,0.9879622147947492,,,
beyin MR (Cheng),U32_pencere,0,0,,32,1027,1,1,12,0.9884918923476416,0.977905680225255,0.9952857193455572,3064,185.237355499994,0.9893569578798938,,,
beyin MR (Cheng),U32_pencere,0,0,,32,1027,1,2,12,0.9893005733595402,0.9803397782668726,0.99497651407198,3064,185.59165880002547,0.990213712046242,,,
beyin MR (Cheng),U32_pencere,0,0,,32,1027,1,3,12,0.9877118338458236,0.9767422049662372,0.9948292786389574,3064,186.2880700000096,0.9890954412984778,,,
beyin MR (Cheng),U32_pencere,0,0,,32,1027,1,4,12,0.987965809000522,0.9767380684099286,0.9946827709378566,3064,185.3813744999934,0.9897098759267712,,,
beyin MR (Cheng),U64,0,0,,64,4096,1,1,12,0.9838012701181942,0.9667999794974214,0.9940897913807496,3064,185.0788610000164,0.9862819937296388,,,
beyin MR (Cheng),U64,0,0,,64,4096,1,2,12,0.9849599846058018,0.9685222572433904,0.994921483721353,3064,185.23456789995544,0.987557968739859,,,
beyin MR (Cheng),U64,0,0,,64,4096,1,3,12,0.983748472526579,0.965434935986306,0.9945814123302336,3064,185.0624742000364,0.9855316098800158,,,
beyin MR (Cheng),U64,0,0,,64,4096,1,4,12,0.9856952069560032,0.9696215048799884,0.9954318612020374,3064,185.06701180001247,0.987905265298758,,,
beyin MR (Cheng),U64_pencere,0,0,,64,4099,1,1,12,0.9892799499923748,0.9767684173872544,0.9971452585191553,3064,185.46184569993056,0.9911267075173952,,,
beyin MR (Cheng),U64_pencere,0,0,,64,4099,1,2,12,0.9911637251797584,0.9811391398356784,0.9974543879189712,3064,185.6494258999592,0.9926608709740748,,,
beyin MR (Cheng),U64_pencere,0,0,,64,4099,1,3,12,0.9885986761968012,0.9746842457384994,0.9968588918240968,3064,185.5784105999628,0.9900866788454594,,,
beyin MR (Cheng),U64_pencere,0,0,,64,4099,1,4,12,0.9887110171597304,0.9737008348762706,0.9974902127619824,3064,185.6254317999119,0.9908609633330904,,,
beyin MR (Cheng),U90,0,0,,90,8100,1,1,12,0.9851035977642998,0.967134058962813,0.9952528262800896,3064,185.2375780000584,0.987345759046044,,,
beyin MR (Cheng),U90,0,0,,90,8100,1,2,12,0.9856774905130666,0.9698311609772764,0.9954758560804856,3064,185.3044520999537,0.9882651723731424,,,
beyin MR (Cheng),U90,0,0,,90,8100,1,3,12,0.9855030067913156,0.9695160766183571,0.9952749862891458,3064,185.1874036999652,0.9870889449435104,,,
beyin MR (Cheng),U90,0,0,,90,8100,1,4,12,0.9872746926025474,0.9724769302462132,0.9957596358218824,3064,185.2002786999801,0.989322657768182,,,
beyin MR (Cheng),U90_pencere,0,0,,90,8103,1,1,12,0.9908905523012936,0.9785619452592176,0.998169515618082,3064,185.6759355999529,0.9925482570606472,,,
beyin MR (Cheng),U90_pencere,0,0,,90,8103,1,2,12,0.9899285910425716,0.975868098926918,0.9978285874222336,3064,185.6542319,0.9916856982706288,,,
beyin MR (Cheng),U90_pencere,0,0,,90,8103,1,3,12,0.9893048685856938,0.9747806295340552,0.9976207453940686,3064,185.53784419992007,0.9903382917658942,,,
beyin MR (Cheng),U90_pencere,0,0,,90,8103,1,4,12,0.9927655796211272,0.9840791851289558,0.998299047289964,3064,185.76721439999528,0.9941019627116148,,,
akciğer grafisi (COVID-QU-Ex),tam,0,0,,224,50176,7,1,5,0.996468915687417,0.9955694599893008,0.9972660719017814,6788,192.5386815000093,,0.9925329052436832,0.999553391996566,0.9995702320357824
akciğer grafisi (COVID-QU-Ex),tam,0,0,,224,50176,7,2,5,0.9964299101171252,0.9955126123590072,0.9972270611752138,6788,175.62404500006232,,0.99211103782703,0.9994566171736288,0.9996931023075704
akciğer grafisi (COVID-QU-Ex),tam,0,0,,224,50176,7,3,5,0.9962540240747702,0.9953547030924148,0.9970924978196932,6788,175.64237399993,,0.9916773481671376,0.9993461846135836,0.9996404700946177
akciğer grafisi (COVID-QU-Ex),tam,0,0,,224,50176,7,4,5,0.9963486919652594,0.995440416674372,0.9972735708165829,6788,175.4775150999194,,0.9922145343073202,0.99949212729011,0.9995618924245752
akciğer grafisi (COVID-QU-Ex),F32_G16,32,0,,16,1283,1,1,5,0.993685155639097,0.99249399151798,0.9948076130530148,6788,179.31683769996744,,0.9884940536190584,0.9990131309386768,0.9988843453451534
akciğer grafisi (COVID-QU-Ex),F32_G16,32,0,,16,1283,1,2,5,0.993482734379056,0.9922746268356144,0.9946297982653138,6788,178.35264240007382,,0.9877218744685176,0.9990191793651104,0.9987931655959532
akciğer grafisi (COVID-QU-Ex),F32_G16,32,0,,16,1283,1,3,5,0.9938706694521832,0.9927515326703972,0.9949751568572616,6788,177.9210798999993,,0.9884957128812673,0.9988498234249704,0.9988174431308012
akciğer grafisi (COVID-QU-Ex),F32_G16,32,0,,16,1283,1,4,5,0.9936320821413718,0.9924211908816168,0.9947437843693048,6788,178.06028600002173,,0.988219445723459,0.9988572376251148,0.998923078206094
akciğer grafisi (COVID-QU-Ex),F64_G32,64,0,,32,5123,1,1,5,0.9948757920834996,0.9937539683862496,0.9958957849787812,6788,178.2747271999251,,0.9895790036960064,0.9995594404229996,0.9993832394200448
