yontem,temsil,model,tohum,sifreli_deger,auc_ic,auc_kaggle,ci95_alt,ci95_ust,n,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19,fark
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,3,512,0.9817859620586116,0.9867818743515681,0.9819948154262321,0.990803760953419,1767,0.9881514057654176,0.9945533769063181,0.9915714331444668,-0.004995912292956484
tam görüntü (Π_ROI doğruluğu),U256,D,4,65536,0.8978523185997106,0.9205787986253547,0.9077619860551908,0.9325976354157214,1767,0.9439778331384412,0.9299673202614379,0.925628221133839,-0.022726480025644147
tam görüntü (Π_ROI doğruluğu),U256,D2,4,65536,0.9455423379489508,0.9726816853313535,0.9654171506379503,0.97962223367549,1767,0.9701459148914536,0.9951416122004357,0.9866609046384326,-0.027139347382402645
tam görüntü (Π_ROI doğruluğu),U256,C,4,65536,0.9164842192479292,0.9396973684829657,0.9272438266130831,0.9500087959056194,1767,0.9449361940108801,0.9709041394335512,0.9552770575242486,-0.02321314923503648
eş örnekli küçültme,U64,D,4,4096,0.8654616574939308,0.9113109012611394,0.897468978814009,0.9239525333576956,1767,0.9466825969800192,0.9122766884531591,0.9115016485803004,-0.04584924376720867
eş örnekli küçültme,U64,D2,4,4096,0.9386968597904882,0.9696049507051674,0.9617900969631651,0.9762959056339432,1767,0.9694900605012964,0.9972657952069717,0.9794487659656199,-0.030908090914679165
eş örnekli küçültme,U64,C,4,4096,0.9199462455629094,0.9389236519177432,0.9268332078487551,0.9492576494008701,1767,0.9576795973359093,0.9739215686274509,0.9344793367265277,-0.018977406354833803
FoveaHE,F32_G16,D,4,1283,0.9137199108125124,0.9437786997878789,0.9326470485944496,0.9531473838509894,1767,0.9688469164675377,0.9659041394335512,0.9386183936745733,-0.030058788975366513
FoveaHE,F32_G16,D2,4,1283,0.9543822771491348,0.9795239079650438,0.9731924867696419,0.9844971606589563,1767,0.9789669022319385,0.9990958605664488,0.9898076122795224,-0.025141630815909033
FoveaHE,F32_G16,C,4,1280,0.9297519917332484,0.9576321188707556,0.9488009693555906,0.9648059617886813,1767,0.9662489196197062,0.9826906318082789,0.9622715195748903,-0.027880127137507205
FoveaHE,F64_G32,D,4,5123,0.9165747059487336,0.9519086288858726,0.9425993280536026,0.9598595010639298,1767,0.9716940363007778,0.9612091503267974,0.955072185409264,-0.035333922937138995
FoveaHE,F64_G32,D2,4,5123,0.9528274674494632,0.9823793939829587,0.9775503679985141,0.9865973852177242,1767,0.9811581676750217,0.9989106753812637,0.994017094017094,-0.029551926533495476
FoveaHE,F64_G32,C,4,5120,0.9326820950996678,0.9671262751687895,0.9604702740705577,0.9734810459194222,1767,0.9669912044333724,0.9898148148148149,0.9794167546976537,-0.034444180069121644
"şifreli özet (ImageNet ResNet-18, 512)",-,D,4,512,0.9685759340162432,0.9705936011607571,0.9644643755541945,0.976697031360764,1767,0.9784915349026386,0.9953703703703705,0.9732994013892889,-0.0020176671445139016
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,4,512,0.9801579798899454,0.9861468103476249,0.9811863925451193,0.9908738373954236,1767,0.9845111596929178,0.9920479302832245,0.9936745734498543,-0.005988830457679506
