veri,yontem,model,temsil,sifreli_deger,ciphertext,sifreli_slot,tekrar,istemci_on_isleme_s,sifreleme_s,sunucu_s,cozme_s,toplam_s,uctan_uca_s,yukleme_MB,indirme_MB
akciğer grafisi (COVID-QU-Ex),Π_ROI %98 şifreli (gizlilik şartlı),D,256 px,64009,8,65536,2,0.004418700002133846,0.0801602000137791,10.22971260000486,0.004497800022363663,10.314370600041002,10.318789300043136,6.844781,
akciğer grafisi (COVID-QU-Ex),tam şifreleme,C,256 px,65536,8,65536,0,0.004418700002133846,0.09719680005218834,2.4333933000452816,0.0017815000610426068,2.5323716001585126,2.5367903001606464,6.844945,0.786873
akciğer grafisi (COVID-QU-Ex),tam şifreleme,C,256 px,65536,8,65536,1,0.004418700002133846,0.10172889998648316,2.3591700999531895,0.0018634001025930047,2.4627624000422657,2.4671811000443995,6.843902,0.786873
akciğer grafisi (COVID-QU-Ex),tam şifreleme,C,256 px,65536,8,65536,2,0.004418700002133846,0.09659149998333305,2.427809700020589,0.001841799938119948,2.526242999942042,2.530661699944176,6.846887,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F32_G16,1283,1,2048,0,0.00657004996901378,0.0108215999789536,1.177670000004582,0.004511400009505451,1.1930029999930412,1.199573049962055,0.856043,1.38059
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,0,0.00657004996901378,0.009127299999818206,1.1412638999754563,0.0047688999911770225,1.1551600999664515,1.1617301499354653,0.856076,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F32_G16,1283,1,2048,1,0.00657004996901378,0.009291799971833825,1.1756268999306485,0.005349499988369644,1.190268199890852,1.1968382498598658,0.855972,1.380531
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,1,0.00657004996901378,0.011721599963493645,1.207525800098665,0.004483699914999306,1.223731099977158,1.2303011499461718,0.85514,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F32_G16,1283,1,2048,2,0.00657004996901378,0.010149999987334013,1.1703408000757918,0.004622599924914539,1.1851133999880403,1.191683449957054,0.856099,1.378995
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,2,0.00657004996901378,0.00920499989297241,1.1475642999866977,0.004556200001388788,1.161325499881059,1.1678955498500727,0.854696,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F32_G16,1283,1,2048,0,0.004306899907533079,0.01197290001437068,1.2801303000887856,0.0019132999004796147,1.2940165000036359,1.298323399911169,0.856053,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F32_G16,1283,1,2048,1,0.004306899907533079,0.015378199983388186,1.3275308999000117,0.0023014999460428953,1.3452105998294428,1.3495174997369759,0.855258,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F32_G16,1283,1,2048,2,0.004306899907533079,0.010622799978591502,1.24522500007879,0.001865800004452467,1.2577136000618339,1.262020499969367,0.854669,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F32_G16,1280,2,1280,0,0.004800699942279607,0.0200238999677822,0.4677019000519067,0.0018647999968379736,0.4895906000165269,0.4943912999588065,1.712247,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F32_G16,1280,2,1280,1,0.004800699942279607,0.01864109991583973,0.44761120004113764,0.0022119999630376697,0.46846429992001504,0.47326499986229464,1.712104,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F32_G16,1280,2,1280,2,0.004800699942279607,0.018596100038848817,0.4416930000297725,0.0018767999717965722,0.4621659000404179,0.4669665999826975,1.710683,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F64_G32,5123,1,8192,0,0.004474799963645637,0.01122460002079606,1.477446100092493,0.004618900013156235,1.4932896001264453,1.497764400090091,0.855545,1.37982
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,0,0.004474799963645637,0.00997999997343868,1.3517837000545114,0.0046582999639213085,1.3664219999918714,1.370896799955517,0.856016,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F64_G32,5123,1,8192,1,0.004474799963645637,0.010559999966062605,1.3367705000564456,0.0045646000653505325,1.3518951000878587,1.3563699000515044,0.856115,1.379278
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,1,0.004474799963645637,0.010049199918285012,1.3362385999644175,0.004652800038456917,1.3509405999211594,1.355415399884805,0.855322,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,F64_G32,5123,1,8192,2,0.004474799963645637,0.010336400009691715,1.4451135999988765,0.005708000040613115,1.4611580000491813,1.465632800012827,0.856178,1.380846
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,2,0.004474799963645637,0.011001600068993866,1.3603889999212697,0.004866700037382543,1.3762573000276461,1.3807320999912918,0.855284,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F64_G32,5123,1,8192,0,0.004477199981920421,0.010583900031633675,1.4641431999625638,0.0019278998952358961,1.4766549998894334,1.4811321998713538,0.856198,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F64_G32,5123,1,8192,1,0.004477199981920421,0.010219100047834218,1.5120009001111612,0.0021852999925613403,1.5244053001515567,1.5288825001334772,0.856091,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,F64_G32,5123,1,8192,2,0.004477199981920421,0.011972600012086332,1.448848900035955,0.0028056000592187047,1.46362710010726,1.4681043000891805,0.856191,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F64_G32,5120,2,5120,0,0.004517299879807979,0.02858040004502982,0.540075600030832,0.0018885999452322721,0.5705446000210941,0.5750618999009021,1.711618,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F64_G32,5120,2,5120,1,0.004517299879807979,0.020216300035826862,0.5152575999964029,0.0019057999597862363,0.537379699992016,0.5418969998718239,1.71146,0.786873
