veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s
akciğer grafisi (COVID-QU-Ex),D2,tam,tam_224,50176,0,0.9385821573934277,0.9340611709568468,0.9432169193470596,6788,10.0,0.0001,0.001,,3.7661776790542953e-06,6.7750030867259285,36.154297000030056
akciğer grafisi (COVID-QU-Ex),C,tam,tam_224,50176,0,0.9291772101066712,0.9240203038944446,0.9339202202018037,6788,21.0,0.0001,0.001,,5.311085496728651e-06,19.961490925292484,40.18266810011119
akciğer grafisi (COVID-QU-Ex),D,U90,es_ornekli,8100,0,0.8753978978653074,0.8683520169751591,0.881881150262189,6788,40.0,0.01,0.001,,1.4083717869706192e-06,34.09260357397864,33.44079259992577
akciğer grafisi (COVID-QU-Ex),D2,U90,es_ornekli,8100,0,0.9412720241697312,0.9367201880116696,0.945517756954366,6788,11.0,0.01,0.001,,1.6678910901291033e-06,8.24407834381167,21.99097000004258
akciğer grafisi (COVID-QU-Ex),C,U90,es_ornekli,8100,0,0.9212824819133651,0.9161735861247012,0.9263003849141334,6788,23.0,0.01,0.001,,2.148154738534913e-06,21.11945848147068,36.644562200061046
akciğer grafisi (COVID-QU-Ex),D,U64,es_ornekli,4096,0,0.8676045411397438,0.8608719341254132,0.8744141979749837,6788,33.0,0.01,0.001,,1.0013849974788158e-06,11.681189721525644,28.91519440000411
akciğer grafisi (COVID-QU-Ex),D2,U64,es_ornekli,4096,0,0.9367911072446748,0.9319122578142492,0.941346844221156,6788,10.0,0.0001,0.001,,3.6234560631953615e-06,7.1681406993931205,22.651775900041685
akciğer grafisi (COVID-QU-Ex),C,U64,es_ornekli,4096,0,0.9164363735989756,0.9107624851726724,0.9217782694733788,6788,25.0,0.01,0.001,,1.840345852599512e-06,26.5315244855843,33.3464017000515
akciğer grafisi (COVID-QU-Ex),D,F64_G32,odakli,5123,0,0.9152757215709708,0.9092681761566792,0.9206137051006812,6788,19.0,0.01,0.001,,8.567670057857413e-07,15.242247519271562,24.04712940007448
akciğer grafisi (COVID-QU-Ex),D2,F64_G32,odakli,5123,0,0.9503513818887764,0.9465132139905884,0.9543207169928564,6788,9.0,0.01,0.001,,3.350396120538335e-06,8.801828423134761,26.16003630007617
akciğer grafisi (COVID-QU-Ex),C,F64_G32,odakli,5120,0,0.9360397063515716,0.9313058378440644,0.9407287724780456,6788,40.0,1,0.001,,9.823992805912951e-07,14.175582334882314,49.18141550000291
akciğer grafisi (COVID-QU-Ex),D,F64_P32k2_G32,odakli,6147,0,0.9151333053808788,0.9092883882494576,0.9206300557024344,6788,19.0,0.01,0.001,,1.3229466726549788e-06,25.15010124885954,22.62331679998897
akciğer grafisi (COVID-QU-Ex),D2,F64_P32k2_G32,odakli,6147,0,0.9523903574103236,0.9484444354351732,0.9563832220431192,6788,10.0,0.01,0.001,,2.829207129906308e-06,7.675502125556737,23.73361040011514
akciğer grafisi (COVID-QU-Ex),C,F64_P32k2_G32,odakli,6144,0,0.9356564587843654,0.9310501989081352,0.9400054446612756,6788,42.0,1,0.001,,1.2925929526730329e-06,17.19158563553417,53.7312576000113
akciğer grafisi (COVID-QU-Ex),D,F32_G16,odakli,1283,0,0.9152236290768516,0.9094549572134868,0.9207165265383308,6788,21.0,0.01,0.001,,6.075506560065946e-07,8.108032055302294,25.059086900088005
akciğer grafisi (COVID-QU-Ex),D2,F32_G16,odakli,1283,0,0.9517030926236104,0.947603189848307,0.9556959923256284,6788,15.0,0.01,0.001,,1.940283825607736e-06,7.516554640350484,26.2206325000152
akciğer grafisi (COVID-QU-Ex),C,F32_G16,odakli,1280,0,0.9267253831653882,0.9213600759119172,0.932182994935687,6788,24.0,0.01,0.001,,1.7103264737805546e-06,33.933103005805314,46.84520770004019
akciğer grafisi (COVID-QU-Ex),D,F64,odakli,4099,0,0.9004241536984444,0.8944544343434144,0.9061669634961388,6788,13.0,0.0001,0.001,,1.1168949480833137e-06,14.26217895003711,21.592864700010978
akciğer grafisi (COVID-QU-Ex),D2,F64,odakli,4099,0,0.9461400494540328,0.941774640913305,0.9501068170605376,6788,11.0,0.01,0.001,,2.802182201833148e-06,7.783430465663497,24.09585640009027
akciğer grafisi (COVID-QU-Ex),C,F64,odakli,4096,0,0.9204400855304276,0.9146126358192336,0.92538935936592,6788,39.0,0.0001,0.001,,1.836509983199619e-06,26.544636162874085,36.73633109999355
akciğer grafisi (COVID-QU-Ex),D,sabit,sabit,0,0,0.5,0.5,0.5,6788,5.0,1,0.001,,5.2429690311495145e-09,0.0,17.132809999980964
akciğer grafisi (COVID-QU-Ex),D2,sabit,sabit,0,0,0.5,0.5,0.5,6788,7.0,1,0.001,,3.298021356012981e-09,0.0,27.680871200049296
