veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,hiz_kazanci_256,hiz_kazanci_512
covidqu,sizinti_gudumlu,7,0.9309122871581604,0.864474282786813,0.9302256058673468,3501,9 63 24 2,23.87206131666608,1.0006422845983294,1.0704500851531749
covidqu,sizinti_gudumlu,8,0.95515436517906,0.8303485798804253,0.9546994579081632,2273,31 4 5 47,23.87206131666608,1.0004168204350452,1.0446267870009605
covidqu,sizinti_gudumlu,9,0.9809036980635468,0.7760025475242008,0.9807079081632653,968,3 39 62 40,23.87206131666608,1.0001774492517903,1.018528347150354
covidqu,sizinti_gudumlu,10,1.0,0.5,1.0,0,32 55 48,23.87206131666608,1.0,1.0
covidqu,rastgele_0,2,0.720522998878949,0.965572920391346,0.7188097895408163,14109,,23.87206131666608,1.262902671081238,1.3792015065791716
covidqu,rastgele_0,4,0.7890487329033152,0.9594762700569244,0.7877072704081632,10652,,23.87206131666608,1.1454799364458903,1.2600239885545748
covidqu,rastgele_0,6,0.8659075710540737,0.9484265920114976,0.8651147959183674,6768,,23.87206131666608,1.042160206337999,1.1486780357459476
covidqu,rastgele_0,8,0.9330549336107086,0.9202239212198676,0.9327965561224488,3372,,23.87206131666608,1.0006223527575664,1.0681163595551386
covidqu,rastgele_0,10,1.0,0.5,1.0,0,,23.87206131666608,1.0,1.0
covidqu,rastgele_1,2,0.7292872694479604,0.958357759980447,0.7274992028061225,13673,,23.87206131666608,1.2456240668342844,1.3627204676109432
covidqu,rastgele_1,4,0.8091774731378079,0.9501518462091344,0.8078364158163265,9642,,23.87206131666608,1.116491357730605,1.2288286132710555
covidqu,rastgele_1,6,0.8658341318582161,0.9359707142420906,0.8649154974489796,6778,,23.87206131666608,1.0422500322822574,1.148775034176854
covidqu,rastgele_1,8,0.9372480348254876,0.8950128444277685,0.9368423150510204,3169,,23.87206131666608,1.0005833489811096,1.0635786384032786
covidqu,rastgele_1,10,1.0,0.5,1.0,0,,23.87206131666608,1.0,1.0
brain,tamamen_gizli,0,1.0,0.5,1.0,0,,19.35038414000009,1.0,1.0
brain,goruntu_roi,0,0.0156872691485225,0.9409431483307976,0.0,50176,,19.35038414000009,7.858859475085045,24.20627314234932
brain,kanonik,0,0.3337265887838417,0.909911322238294,0.3335857780612244,33438,,19.35038414000009,2.826675255780354,2.9396044589807007
brain,kanonik_genis8,0,0.4386562410734123,0.9199336661018904,0.438655931122449,28166,,19.35038414000009,2.1940049366823393,2.253149366998183
brain,kanonik_genis16,0,0.5500239158163264,0.9179627013826304,0.5500239158163265,22578,,19.35038414000009,1.7296563704952408,1.8035367127147688
brain,kanonik_genis32,0,0.7912747130102042,0.8923917125304932,0.7912747130102041,10473,,19.35038414000009,1.1422003541664008,1.2564965060526276
brain,kanonik_genis64,0,0.9998405612244898,0.619496300019406,0.9998405612244898,8,,19.35038414000009,1.000001481297995,1.0001519057463821
