size,rho_hedef,rho,tekrar,sifreleme_s,sunucu_s,cozme_s,toplam_s,ciphertext_sayisi,sifreli_slot,yukleme_MB
128,0.75,0.75201416015625,1,0.019873600103892386,2.8312018000287935,0.015413800021633506,2.8664892001543194,2,16384,
128,0.75,0.75201416015625,2,0.01996589999180287,2.8294175000628456,0.015228800009936094,2.8646122000645846,2,16384,
128,0.75,0.75201416015625,3,0.020224799984134734,2.844846499967389,0.015277299913577735,2.8803485998651013,2,16384,
128,0.75,0.75201416015625,4,0.01998670003376901,2.8716703999089077,0.015227199997752905,2.9068842999404296,2,16384,
128,0.9,0.89361572265625,0,0.02137960004620254,2.8555522999959067,0.01566190004814416,2.8925938000902534,2,16384,1.710815
128,0.9,0.89361572265625,1,0.020513799972832203,2.8264541000826284,0.015127699938602746,2.8620955999940634,2,16384,
128,0.9,0.89361572265625,2,0.020287099992856383,2.8494180999696255,0.015747500001452863,2.8854526999639347,2,16384,
128,0.9,0.89361572265625,3,0.021154999965801835,2.8384996000677347,0.017360900063067675,2.8770155000966042,2,16384,
128,0.9,0.89361572265625,4,0.023448599968105555,2.8349909000098705,0.01530459988862276,2.873744099866599,2,16384,
128,1.0,1.0,0,0.02022409997880459,2.901627500075847,0.015420300071127713,2.937271900125779,2,16384,1.711689
128,1.0,1.0,1,0.023019400076009333,2.8377742000157014,0.015617100056260824,2.8764107001479715,2,16384,
128,1.0,1.0,2,0.020386300049722195,2.8467400999506935,0.015412300010211766,2.8825387000106275,2,16384,
128,1.0,1.0,3,0.019895499921403825,2.8627062999876216,0.0150605000089854,2.897662299918011,2,16384,
128,1.0,1.0,4,0.019910699920728803,2.846941199968569,0.01497760007623583,2.8818294999655336,2,16384,
256,0.01,0.01031494140625,0,0.009366000071167946,1.3097328000003472,0.014855699962936342,1.3339545000344515,1,1024,0.856108
256,0.01,0.01031494140625,1,0.009215200087055564,1.2965389000019059,0.015198800014331937,1.3209529001032934,1,1024,
256,0.01,0.01031494140625,2,0.009774100035429,1.3100639000767842,0.01486060000024736,1.3346986001124606,1,1024,
256,0.01,0.01031494140625,3,0.009427400073036551,1.296516399946995,0.01491819997318089,1.3208619999932125,1,1024,
256,0.01,0.01031494140625,4,0.009094699984416366,1.294858600012958,0.014805100043304265,1.3187584000406787,1,1024,
256,0.05,0.0495758056640625,0,0.01008679997175932,1.4934936999343336,0.01511250005569309,1.518692999961786,1,4096,0.855747
256,0.05,0.0495758056640625,1,0.009528500027954578,1.4727434000233188,0.015643600025214255,1.4979155000764877,1,4096,
256,0.05,0.0495758056640625,2,0.009599499986506999,1.4860663999570534,0.014963999972678721,1.510629899916239,1,4096,
256,0.05,0.0495758056640625,3,0.009744800045154989,1.484912300016731,0.015818500076420605,1.5104756001383066,1,4096,
256,0.05,0.0495758056640625,4,0.009724700008518994,1.4938773000612855,0.015274500008672476,1.518876500078477,1,4096,
256,0.1,0.1001129150390625,0,0.010509700048714876,1.5984293000074103,0.014918899978511035,1.6238579000346363,1,8192,0.855174
256,0.1,0.1001129150390625,1,0.010842200019396842,1.5685211999807507,0.015336600015871227,1.5947000000160187,1,8192,
256,0.1,0.1001129150390625,2,0.01207049994263798,1.5908280999865383,0.015007899957709014,1.6179064998868853,1,8192,
256,0.1,0.1001129150390625,3,0.01033419999293983,1.5731677999719977,0.015092400019057095,1.5985943999839947,1,8192,
256,0.1,0.1001129150390625,4,0.010071399970911443,1.5758691999362782,0.014947099960409105,1.6008876998675987,1,8192,
256,0.25,0.25,0,0.020979100023396313,2.85544439998921,0.015514899976551533,2.891938399989158,2,16384,1.711618
256,0.25,0.25,1,0.020511699956841767,2.8332894999766722,0.015259700012393296,2.8690608999459073,2,16384,
256,0.25,0.25,2,0.02048920001834631,2.88319669989869,0.015089900000020862,2.918775799917057,2,16384,
256,0.25,0.25,3,0.02009530004579574,2.8560383999720216,0.015526399947702885,2.89166009996552,2,16384,
256,0.25,0.25,4,0.020519199897535145,2.85430530004669,0.015428499900735915,2.890252999844961,2,16384,
256,0.5,0.4998931884765625,0,0.04207460000179708,5.399534500087611,0.014856099965982139,5.456465200055391,4,32768,3.42332
256,0.5,0.4998931884765625,1,0.040115299983881414,5.393962000031024,0.015355899930000305,5.449433199944906,4,32768,
256,0.5,0.4998931884765625,2,0.045776200015097857,5.409414099995047,0.015361899975687265,5.470552199985832,4,32768,
256,0.5,0.4998931884765625,3,0.0400672999676317,5.401611299952492,0.014956700033508241,5.456635299953632,4,32768,
256,0.5,0.4998931884765625,4,0.03990510001312941,5.4731281999265775,0.015199000015854836,5.528232299955562,4,32768,
256,0.75,0.75201416015625,0,0.06832150008995086,8.737978299963288,0.01478179998230189,8.82108160003554,7,49408,5.989325
256,0.75,0.75201416015625,1,0.06900350004434586,8.718268200056627,0.015040599973872304,8.802312300074846,7,49408,
256,0.75,0.75201416015625,2,0.06872540002223104,8.732623500050977,0.014988899929448962,8.816337800002657,7,49408,
256,0.75,0.75201416015625,3,0.06948880001436919,8.775476500042714,0.014823800069279969,8.859789100126363,7,49408,
256,0.75,0.75201416015625,4,0.06947019998915493,8.75376440002583,0.015091599896550179,8.838326199911535,7,49408,
256,0.9,0.9010162353515625,0,0.08139840001240373,10.49994540004991,0.01485749997664243,10.596201300038956,8,59392,6.845762
256,0.9,0.9010162353515625,1,0.07974760001525283,10.345258500077762,0.015210799989290535,10.440216900082305,8,59392,
256,0.9,0.9010162353515625,2,0.0794591000303626,10.826879199943505,0.015542600071057677,10.921880900044926,8,59392,
256,0.9,0.9010162353515625,3,0.08185179997235537,10.574317899998277,0.01565469999331981,10.671824399963953,8,59392,
256,0.9,0.9010162353515625,4,0.0823954000370577,10.318150200066157,0.015930900000967085,10.416476500104181,8,59392,
256,1.0,1.0,0,0.08359480008948594,10.493141599930823,0.0151657999958843,10.591902200016193,8,65536,6.845708
256,1.0,1.0,1,0.08076650009024888,10.53174410003703,0.014986100024543703,10.627496700151823,8,65536,
256,1.0,1.0,2,0.08261239994317293,10.477195899933577,0.014972800039686263,10.574781099916436,8,65536,
256,1.0,1.0,3,0.07922299997881055,10.530103600001894,0.015096699935384095,10.624423299916089,8,65536,
256,1.0,1.0,4,0.08021250006277114,10.581226699985564,0.015385500038973987,10.676824700087309,8,65536,
512,0.01,0.009922027587890625,0,0.010000600013881922,1.4942046001087874,0.014968500006943941,1.5191737001296133,1,4096,0.856151
512,0.01,0.009922027587890625,1,0.009718299959786236,1.488328699953854,0.015182200004346669,1.513229199917987,1,4096,
512,0.01,0.009922027587890625,2,0.009541400009766221,1.4903612999478355,0.015141600044444203,1.515044300002046,1,4096,
512,0.05,0.0495758056640625,0,0.02112340007442981,2.8605841000098735,0.015302999992854893,2.897010500077158,2,16384,1.711113
512,0.05,0.0495758056640625,1,0.020260600023902953,2.84555620001629,0.015348499990068376,2.8811653000302613,2,16384,
512,0.05,0.0495758056640625,2,0.020434999954886734,2.8685864000581205,0.014883200055919588,2.903904600068927,2,16384,
512,0.1,0.1001129150390625,0,0.040296000079251826,5.243619000073522,0.014919000095687807,5.298834000248462,4,26624,3.420946
512,0.1,0.1001129150390625,1,0.03912630002014339,5.235472400090657,0.01596300001256168,5.290561700123362,4,26624,
512,0.1,0.1001129150390625,2,0.04089619999285787,5.241957499994896,0.01593759993556887,5.298791299923323,4,26624,
512,0.25,0.25,0,0.08042359992396086,10.744488899945281,0.015377199975773692,10.840289699845016,8,65536,6.843643
512,0.25,0.25,1,0.08121880004182458,10.492733100079931,0.015201299916952848,10.589153200038709,8,65536,
512,0.25,0.25,2,0.080699099926278,10.564120099996217,0.015329399961046875,10.660148599883541,8,65536,
512,0.5,0.4998931884765625,0,0.17008990002796054,20.70208720001392,0.015283699962310493,20.88746080000419,16,131072,13.689951
512,0.5,0.4998931884765625,1,0.15919339994434267,20.922930000000633,0.015585400047712028,21.097708799992688,16,131072,
512,0.5,0.4998931884765625,2,0.1598719999892637,20.6904486999847,0.015407299972139299,20.865727999946102,16,131072,
512,0.75,0.7486305236816406,0,0.25056640000548214,31.19098940002732,0.015083899954333901,31.456639699987136,24,196608,20.541284
512,0.75,0.7486305236816406,1,0.24064960004761815,30.927768900059164,0.015097199939191341,31.183515700045973,24,196608,
512,0.75,0.7486305236816406,2,0.240691400016658,30.97157260007225,0.01482339994981885,31.227087400038727,24,196608,
512,0.9,0.9010162353515625,0,0.29074369999580085,37.281019899994135,0.014905399992130697,37.58666899998207,29,237568,24.812795
512,0.9,0.9010162353515625,1,0.2930079000070691,37.32762559992261,0.014946900075301528,37.63558040000498,29,237568,
512,0.9,0.9010162353515625,2,0.2920726001029834,37.34725270001218,0.014834600035101175,37.65415990015026,29,237568,
512,1.0,1.0,0,0.32441619993187487,41.25302830000874,0.014870300074107945,41.59231480001472,32,262144,27.382801
512,1.0,1.0,1,0.32052110007498413,41.094579600030556,0.015581000014208257,41.43068170011975,32,262144,
512,1.0,1.0,2,0.3265601000748575,41.263267099973746,0.015093300025910139,41.60492050007451,32,262144,
