butce,odak_payi_hedef,yapilandirma,F,G,sifreli_deger,odak_payi,veri,model,auc_ort,auc_std,tohum_sayisi
4096,0.5,F45_G45,45,45,4053,0.4996299037749815,beyin MR (Cheng),C,0.938817449252044,,1
4096,0.5,F45_G45,45,45,4053,0.4996299037749815,beyin MR (Cheng),D,0.9494122824405534,,1
4096,0.75,F55_G32,55,32,4052,0.7465449160908193,akciğer grafisi (COVID-QU-Ex),C,0.9372606736161,,1
4096,0.75,F55_G32,55,32,4052,0.7465449160908193,akciğer grafisi (COVID-QU-Ex),D,0.9151872519730926,,1
4096,0.75,F55_G32,55,32,4052,0.7465449160908193,beyin MR (Cheng),C,0.9251144022837944,,1
4096,0.75,F55_G32,55,32,4052,0.7465449160908193,beyin MR (Cheng),D,0.946029188771715,,1
4096,1.0,F63,63,0,3972,0.9992447129909365,akciğer grafisi (COVID-QU-Ex),C,0.9229531336033068,,1
4096,1.0,F63,63,0,3972,0.9992447129909365,akciğer grafisi (COVID-QU-Ex),D,0.9007030959186538,,1
4096,1.0,F63,63,0,3972,0.9992447129909365,beyin MR (Cheng),C,0.8755150886369066,,1
4096,1.0,F63,63,0,3972,0.9992447129909365,beyin MR (Cheng),D,0.8692363771557896,,1
8192,0.0,U90,0,90,8100,0.0,akciğer grafisi (COVID-QU-Ex),C,0.9212030800404484,,1
8192,0.0,U90,0,90,8100,0.0,akciğer grafisi (COVID-QU-Ex),D,0.8753978978653074,,1
8192,0.0,U90,0,90,8100,0.0,beyin MR (Cheng),C,0.8469425458279499,,1
8192,0.0,U90,0,90,8100,0.0,beyin MR (Cheng),D,0.8805389337720007,,1
8192,0.25,F45_G78,45,78,8112,0.2496301775147929,akciğer grafisi (COVID-QU-Ex),C,0.9421479514498488,,1
8192,0.25,F45_G78,45,78,8112,0.2496301775147929,akciğer grafisi (COVID-QU-Ex),D,0.9213944213188828,,1
8192,0.25,F45_G78,45,78,8112,0.2496301775147929,beyin MR (Cheng),C,0.9359470749890628,,1
8192,0.25,F45_G78,45,78,8112,0.2496301775147929,beyin MR (Cheng),D,0.9507384666426488,,1
8192,0.5,F64_G63,64,63,8068,0.5076846802181457,akciğer grafisi (COVID-QU-Ex),C,0.937924618347474,,1
8192,0.5,F64_G63,64,63,8068,0.5076846802181457,akciğer grafisi (COVID-QU-Ex),D,0.9209610462281832,,1
8192,0.5,F64_G63,64,63,8068,0.5076846802181457,beyin MR (Cheng),C,0.907349691955853,,1
8192,0.5,F64_G63,64,63,8068,0.5076846802181457,beyin MR (Cheng),D,0.9488830785351072,,1
8192,0.75,F78_G45,78,45,8112,0.75,akciğer grafisi (COVID-QU-Ex),C,0.9388946785611532,,1
8192,0.75,F78_G45,78,45,8112,0.75,akciğer grafisi (COVID-QU-Ex),D,0.91726254835571,,1
8192,0.75,F78_G45,78,45,8112,0.75,beyin MR (Cheng),C,0.9387770158263078,,1
8192,0.75,F78_G45,78,45,8112,0.75,beyin MR (Cheng),D,0.946294034827872,,1
8192,1.0,F90,90,0,8103,0.9996297667530544,akciğer grafisi (COVID-QU-Ex),C,0.926506345517483,,1
8192,1.0,F90,90,0,8103,0.9996297667530544,akciğer grafisi (COVID-QU-Ex),D,0.8966977665059329,,1
8192,1.0,F90,90,0,8103,0.9996297667530544,beyin MR (Cheng),C,0.8915489624446504,,1
8192,1.0,F90,90,0,8103,0.9996297667530544,beyin MR (Cheng),D,0.8696340671213741,,1
