veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
akciğer grafisi (COVID-QU-Ex),12934,0,1,paket,0.010098699945956469,1,8192,855601,2,1.711476,14637,,
akciğer grafisi (COVID-QU-Ex),12935,0,4,paket,0.010729499976150692,1,8192,854520,3,2.567214,16392,,
akciğer grafisi (COVID-QU-Ex),12945,0,0,paket,0.010441999998874962,1,8192,855249,2,1.711476,8852,,
akciğer grafisi (COVID-QU-Ex),12947,0,1,paket,0.010269299964420497,1,8192,855342,2,1.711476,9129,,
akciğer grafisi (COVID-QU-Ex),12964,0,0,paket,0.010085699963383377,1,8192,856074,2,1.711476,10986,,
akciğer grafisi (COVID-QU-Ex),12970,0,0,paket,0.010073699988424778,1,8192,855270,2,1.711476,13081,,
akciğer grafisi (COVID-QU-Ex),12977,0,2,paket,0.009990400052629411,1,8192,855976,3,2.567214,18449,,
akciğer grafisi (COVID-QU-Ex),12978,0,4,paket,0.009902600082568824,1,8192,855243,3,2.567214,17861,,
akciğer grafisi (COVID-QU-Ex),12984,0,4,paket,0.0100895999930799,1,8192,856098,3,2.567214,17676,,
akciğer grafisi (COVID-QU-Ex),13019,0,0,paket,0.010668799979612231,1,8192,855324,2,1.711476,10394,,
akciğer grafisi (COVID-QU-Ex),13027,0,0,paket,0.010198300005868077,1,8192,855319,2,1.711476,16124,,
akciğer grafisi (COVID-QU-Ex),13032,0,1,paket,0.010005100048147142,1,8192,855980,3,2.567214,18120,,
akciğer grafisi (COVID-QU-Ex),13041,0,1,paket,0.010027899988926947,1,8192,855490,3,2.567214,16439,,
akciğer grafisi (COVID-QU-Ex),13048,0,3,paket,0.010310800047591329,1,8192,855233,2,1.711476,13403,,
akciğer grafisi (COVID-QU-Ex),13049,0,4,paket,0.010006500058807433,1,8192,855929,2,1.711476,13427,,
