veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s,auc_kat_ort
beyin MR (Cheng),D,F45,odakli,2028,0,0.8714210766817527,0.8420011874342248,0.8971535254620786,3064,9.2,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.178440897753319e-06,15.5953403395919,9.38605829991866,0.8721414871033673
beyin MR (Cheng),C,U64,es_ornekli,4096,0,0.8486387095885549,0.8227039525630253,0.8722700930870142,3064,5.4,1/1/1/1/0.01,0.001/0.001/0.001/0.001/0.001,,1.403724503745707e-06,39.245565353107736,9.241514099994674,0.8582914888280586
beyin MR (Cheng),D,U64,es_ornekli,4096,0,0.8787699531228997,0.8515736429724812,0.902723889976635,3064,8.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.1675617370698887e-06,13.05370628754865,8.684425999992527,0.8828997370873448
beyin MR (Cheng),C,F32_G55,odakli,4049,0,0.9381964838727638,0.922993218002945,0.953317779950438,3064,31.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,3.26913791370842e-06,48.6815519160407,18.84778189996723,0.9407792869566316
beyin MR (Cheng),D,F32_G55,odakli,4052,0,0.9482711140813662,0.9271951766361346,0.9644682312074762,3064,5.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.9106525401824115e-06,24.01606481085917,8.59794140001759,0.9504772766136356
beyin MR (Cheng),C,F45_G45,odakli,4050,0,0.938817449252044,0.9221589089348092,0.9546241131102464,3064,39.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.429682838922531e-06,53.57456858313547,20.450640399940312,0.9439890186394828
beyin MR (Cheng),D,F45_G45,odakli,4053,0,0.9494122824405534,0.9312865567664238,0.9651259391116506,3064,5.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.2391286485780029e-06,14.68559265580653,9.248146299971268,0.9504094728705652
beyin MR (Cheng),C,F55_G32,odakli,4049,0,0.9251144022837944,0.9049701948212676,0.9424176013306356,3064,25.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.1028432612979486e-06,43.91322958288644,15.857970000011846,0.9247933636604035
beyin MR (Cheng),D,F55_G32,odakli,4052,0,0.946029188771715,0.9248474566003112,0.962826555114631,3064,7.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,8.863637299683091e-07,20.945910090634577,9.42498890007846,0.9480791870936008
beyin MR (Cheng),C,F63,odakli,3969,0,0.8755150886369066,0.8510610837501943,0.8971512444132983,3064,29.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.923669675996109e-06,102.87240869652608,14.25374890002422,0.881428637014011
beyin MR (Cheng),D,F63,odakli,3972,0,0.8692363771557896,0.8402574164022645,0.8936510688966834,3064,5.2,10/10/10/10/100,0.001/0.001/0.001/0.001/0.0001,,9.707014223536703e-07,17.192318467470493,13.330849699908867,0.8713204729724332
