veri,hedef,gorus,tohum,gizli_alan_ort,auc,ci95_alt,ci95_ust,n,sure_s,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis40,1,0.8742920160293579,0.9557268700673156,0.9520523728841426,0.959813681048564,6788,291.2234967999975,0.949313480261002,0.9762677306694244,0.9750345398897504
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis40,2,0.8742920160293579,0.9553898234012144,0.9516083762140434,0.9591070550092284,6788,291.25108939997153,0.9504376304076392,0.9744046202173532,0.9741503557770804
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis40,3,0.8742920160293579,0.9542189330727768,0.950277608618144,0.9582046748411396,6788,291.2841361000319,0.9493470803207354,0.9741072717694572,0.9739005380902476
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis40,4,0.8742920160293579,0.9553450265463442,0.9513725543854576,0.9590637192914688,6788,291.4038726000581,0.9508974534473248,0.9752730571868964,0.973472994022352
beyin MR (Cheng),tümör tipi (3 sınıf),yalniz_roi,0,0.9830799698829651,0.9781390642834568,0.9705727857686258,0.9850527120157099,3064,232.77581299992744,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis10,0,0.051180094480514526,0.9717333765681572,0.9512417169081684,0.9869704227372044,3064,198.1258982999716,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis20,0,0.10116633027791977,0.9670871333896777,0.9450484286806825,0.9844465346548397,3064,223.63218049996067,,,
beyin MR (Cheng),tümör tipi (3 sınıf),kutu,0,0.024948110803961754,0.9732086145181521,0.9500625080149919,0.9893484261194616,3064,188.5988709999947,,,
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),yalniz_roi,0,0.7647959589958191,0.9904750987000579,0.989023447260584,0.9918834898898747,6788,177.35230280004907,0.9911698213389416,0.995422902074025,0.9952929381098921
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis10,0,0.4250478446483612,0.9914907642782435,0.9899813829881562,0.992753667789101,6788,186.31415520003065,0.979414570811089,0.9992970167599946,0.9994099261759083
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis20,0,0.6086020469665527,0.9889669450864904,0.9872664583265188,0.9905122716464021,6788,210.242000700091,0.975330919106819,0.9985442803348097,0.998467364784787
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),kutu,0,0.513184666633606,0.9839242048272235,0.981942475099071,0.9855809680384316,6788,176.66362879995722,0.9604523148781895,0.9989871812381714,0.9986643649339735
