size,rho_hedef,rho,tekrar,sifreleme_s,sunucu_s,cozme_s,toplam_s,ciphertext_sayisi,sifreli_slot,yukleme_MB
64,1.0,1.0,2,0.011769499978981912,1.9667681000428274,0.017952100024558604,1.996489700046368,1,4096,
128,0.01,0.01031494140625,0,0.012428100046236068,1.4007333000190556,0.022848299995530397,1.436009700060822,1,256,0.855259
128,0.01,0.01031494140625,1,0.014112800010479987,1.5142574000055902,0.019909999973606318,1.5482801999896765,1,256,
128,0.01,0.01031494140625,2,0.010378899984061718,1.4557710000080988,0.018550400040112436,1.484700300032273,1,256,
128,0.05,0.05133056640625,0,0.0112438999931328,1.7119117999682203,0.021981900034006685,1.7451375999953598,1,1024,0.855243
128,0.05,0.05133056640625,1,0.012769599969033152,1.8096005999832414,0.022799299971666187,1.8451694999239407,1,1024,
128,0.05,0.05133056640625,2,0.013830200012307614,1.7266754999873228,0.022125400020740926,1.7626311000203714,1,1024,
128,0.1,0.09765625,0,0.011488599993754178,1.7775688000256196,0.02316350000910461,1.8122209000284784,1,2048,0.855801
128,0.1,0.09765625,1,0.012977099977433681,1.8338338999892585,0.018906100012827665,1.8657170999795198,1,2048,
128,0.1,0.09765625,2,0.012011700018774718,1.8435615000198595,0.021494499989785254,1.8770677000284195,1,2048,
128,0.25,0.25,0,0.014667099982034415,2.0425045000156388,0.023346600006334484,2.0805182000040077,1,4096,0.855309
128,0.25,0.25,1,0.014930400007870048,1.9060533000156283,0.021223599964287132,1.9422072999877855,1,4096,
128,0.25,0.25,2,0.013530900003388524,1.932121499965433,0.022749399999156594,1.9684017999679781,1,4096,
128,0.5,0.50543212890625,0,0.022723100031726062,2.7286214999621734,0.016959200031124055,2.7683038000250235,2,8320,1.710647
128,0.5,0.50543212890625,1,0.02119259996106848,2.594999800028745,0.01723699999274686,2.6334293999825604,2,8320,
128,0.5,0.50543212890625,2,0.022923900047317147,2.674678700044751,0.018070099991746247,2.7156727000838146,2,8320,
128,0.75,0.75201416015625,0,0.029832299973350018,3.7730877999565564,0.023357000027317554,3.826277099957224,2,16384,1.711639
128,0.75,0.75201416015625,1,0.02321809995919466,3.708762799971737,0.02125659998273477,3.7532374999136664,2,16384,
